Change Physical Footprint: Designator=A1 Old Footprint=BluePill New Footprint=BluePill
Change Physical Footprint: Designator=C13 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C14 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C15 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C16 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C17 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C18 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C19 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C20 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C21 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C22 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C23 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C24 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C25 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C26 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C27 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C28 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C29 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C30 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C31 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C32 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C33 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C34 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C35 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C36 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C37 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C38 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C39 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C40 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C41 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C42 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C43 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C44 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C45 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C46 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C47 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C48 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C49 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C50 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C51 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C52 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C53 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C54 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C55 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=C56 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=DA2 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA3 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA4 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA5 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA6 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA7 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA8 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA9 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA10 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA11 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA12 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA13 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA14 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA15 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA16 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA17 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=DA18 Old Footprint=SC_SOIC8 New Footprint=SC_SOIC8
Change Physical Footprint: Designator=HL1 Old Footprint=DI_LED_0805 New Footprint=DI_LED_0805
Change Physical Footprint: Designator=HL2 Old Footprint=DI_LED_0805 New Footprint=DI_LED_0805
Change Physical Footprint: Designator=J1 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J2 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J3 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J4 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J5 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J6 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J7 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J8 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J9 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J10 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J11 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=J12 Old Footprint=PIN1 New Footprint=PIN1
Change Physical Footprint: Designator=R4 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R6 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R7 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R8 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R9 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R10 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R11 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R12 Old Footprint=RE_0805 New Footprint=RE_0805
Change Physical Footprint: Designator=R13 Old Footprint=RE_0805 New Footprint=RE_0805
